category	video_id	clip
Autos_Vehicles	BYR83s5Pioo	0
Travel_Events	AB00MkcLOo0	21
Entertainment	FZgJBEFcxBM	15
Travel_Events	4t7SZ3VHHus	8
Science_Technology	nW-QMhkt6_8	12
People_Blogs	A2Xz1zJj3X8	10
People_Blogs	Ro9aEIN3YRA	412
Travel_Events	dX5tsEXsk40	63
People_Blogs	KfQ9oZUmO3Q	16
People_Blogs	CHjRG-ge-aw	9
Entertainment	NvQDkuUy0_s	31
People_Blogs	G9Dwd7RoNhk	13
Nonprofits_Activism	ldSsFREnXeM	54
Entertainment	ysO_Bsu0LHQ	0
People_Blogs	7pcv1FnIJMU	107
Sports	3dnbxpGzUi8	63
Gaming	bAtWW1TPTAQ	12
Science_Technology	c3zeH-YEHkE	119
Travel_Events	g-mxDh2beb0	8
Entertainment	W2u2M8Fux9A	32
Travel_Events	rVu9gkLZH34	355
People_Blogs	zeTGWVfdWk8	24
Gaming	9m4Scs3wJls	4
Sports	GUWFa9-uXdc	8
People_Blogs	stDBE0S48X4	32
Entertainment	JsNveFNNlmE	10
Travel_Events	KMptHvl-EuE	5
Travel_Events	KDgRq6TsZUA	49
People_Blogs	4lkXBm8xHhI	9
Travel_Events	0jbfz5tT-uA	24
Autos_Vehicles	JvmsfD-vGoE	39
Gaming	WuAeaj0x4G8	0
People_Blogs	9TjXSqlF84M	22
Sports	uBtT4hjv03A	20
Entertainment	IUyjOR5fK1k	86
Entertainment	6w9wZQwVRkw	7
Entertainment	RVv9dxYJsAA	6
Autos_Vehicles	X4JnH7ajT9Y	50
Education	yb0OreVGYP8	12
Film_Animation	xlaCZVNsDiI	16
Howto_Style	1N9bYkbHI80	18
Sports	w0d_esNxvEU	2
People_Blogs	lcYOU8tbqrw	7
People_Blogs	zU95-wX0xJo	25
Travel_Events	np-S3IyKAhA	8
Film_Animation	aB0iSfwot-M	4
Gaming	Zb5iMSQT9nM	41
Autos_Vehicles	eXESA532-BQ	34
Travel_Events	crZoFc_brh4	26
Entertainment	2zSI0ZrQvSM	85
Entertainment	UvB4MKYEJzM	14
Travel_Events	rgsXBdOC5Eo	493
People_Blogs	WajFz5XQjnQ	32
Travel_Events	0Uam7-sd1po	36
Science_Technology	dN5VNbVxbkc	60
Education	rD24B1ag4Dc	68
Science_Technology	YtgQa6r0tes	21
People_Blogs	GeOfbc1-U8I	112
People_Blogs	gtMfcvro0hM	90
Travel_Events	thxpSZmUHiM	21
Education	ssx3-jbTzJ8	27
Travel_Events	cRRl-i5J8wA	25
People_Blogs	4XlSpRVDJjE	16
Pets_Animals	FOKHJcRvElI	10
Gaming	VrfEhr7BNi0	28
Sports	ZfYnHYJotVA	161
Travel_Events	e4uJfwYB240	128
Film_Animation	8v6Bv3TwiWc	28
Gaming	kokvHsrUcJA	154
Travel_Events	ghN3eeVZM80	177
Education	3Agsqmlr4Zk	149
Travel_Events	3Xni2UVJARw	114
Science_Technology	y5AlFZYDmE4	42
Travel_Events	jPcXSV1hqtw	48
People_Blogs	rb_dTbXiyaI	8
People_Blogs	WK6zqSxSP3w	59
Gaming	l1rKLkPwz_s	6
Travel_Events	Lg6YYMZzxVk	122
Travel_Events	OR_Y7vj66PU	14
Entertainment	Wy4kQUdqDKM	106
Gaming	IcyJmkmQHzM	0
Education	gf0mpUS9vWI	27
Howto_Style	FJvPaak33I4	67
Autos_Vehicles	FxFH3wOx-40	12
Autos_Vehicles	54FDtRt_oyw	2
Film_Animation	6ihrSROs-AQ	6
Gaming	CMq1DPctuS0	5
People_Blogs	h4sTqj79JBc	32
Travel_Events	VALWe9ppLO8	41
People_Blogs	7aMNjN7r1DU	1
Science_Technology	plWIXZcsK6U	34
Sports	7E3XcO9DozY	15
Film_Animation	bW9VYhytk-c	140
Entertainment	bqDwlAUlDNU	612
People_Blogs	qeepqn1ueZc	97
Entertainment	pKf60y2-HC4	15
People_Blogs	w5MwxZIZhy0	94
Travel_Events	ZGWNcvnQQtU	0
Entertainment	q0uO-_HkeBs	4
Autos_Vehicles	SlF80P1U6fs	170
Travel_Events	GrC_JwbOf4o	6
Entertainment	PYNbi7-d2iY	11
Travel_Events	IcOsY2t6RO4	169
Travel_Events	rBT2UgyOqfs	125
Entertainment	BA0TcawFhpc	14
Comedy	rMl4t6ituvI	67
Science_Technology	AVEvXFCfM1c	43
Gaming	YYF3qmdjboU	7
Entertainment	ULdHPbm4BwA	46
Autos_Vehicles	XlqpAIUOlwU	0
Entertainment	2Ga_POx-A8I	118
Travel_Events	pC2_c-Qrm8E	74
Travel_Events	14Mr1KU5ItY	163
People_Blogs	tqar_ckqHOo	1
Entertainment	6YTSABvS8K8	4
Entertainment	jBtadVG6Z4Y	10
People_Blogs	TxF5riCFzBs	158
People_Blogs	zSkQqDQjj_4	15
Entertainment	-xoh_eobz9E	23
Autos_Vehicles	1jiqqDDab7o	72
Sports	xRMxq0gD5TY	311
Comedy	kkzv64-nLmU	44
Gaming	R9IQgSr1EUs	6
Travel_Events	o5hAbYUYN78	36
People_Blogs	MVoiN8tRQe4	56
Gaming	Vgms9WqA12k	17
People_Blogs	zIDDQZa9Umw	28
Gaming	JGSBp1Zdqe4	3
Travel_Events	w8nJmua9vt8	3
People_Blogs	BM9Eja6sO20	0
Entertainment	v4VG0AKGXX8	47
Gaming	odJH4l3hFB0	14
People_Blogs	U9FkRlx2kAY	63
People_Blogs	wKb-puulRYY	48
Entertainment	OtSIQRRkICo	63
Entertainment	4_acimftbWU	13
People_Blogs	BJEFCgKAby4	107
Travel_Events	xkQQ8HF5tlo	19
Film_Animation	MhBufzqQmzk	49
Gaming	N0kibGAdirI	4
Entertainment	lyBjNu2vLwg	60
Travel_Events	ut5ZlS7iG58	123
Sports	iK0KNBM1Bdw	50
Travel_Events	xtkaliIPJwQ	61
Entertainment	t6zJgKuxYFY	7
People_Blogs	H_FCm7TFz0g	20
Film_Animation	4RIRvw9fRXI	9
Gaming	v6sLqFLeIAI	1
Travel_Events	MmZ2NRiiRlw	61
Autos_Vehicles	__JHa9sfoCQ	27
Education	4SNsYvoXoeU	2
People_Blogs	uRBiOFMBuQI	10
Entertainment	2jfAd-B8WfM	153
Sports	PI68SY4uJBI	1
Travel_Events	GTXBBDBQ5ek	26
Autos_Vehicles	qay-uV2yeo0	139
Travel_Events	cUId34krD6o	30
Autos_Vehicles	6cRXd_4urhE	18
Travel_Events	whOB0AEyyqs	101
Comedy	FYSRzJnSP8c	51
Entertainment	ORXorS0QLug	46
Sports	31939ylk2ck	38
Gaming	ddQ-XSizD14	30
Travel_Events	IYaaErV3Lu0	127
Sports	HW1lefCP4bc	8
Pets_Animals	BzIJxOyVfp8	111
News_Politics	Oj0NQMhw818	67
Entertainment	ix3geqNZtfs	4
Nonprofits_Activism	hJY1SFAuSTk	38
Entertainment	s4Jgwpr29YI	153
People_Blogs	4UFgFJiUzR8	2
Travel_Events	C3EWKMWevLU	35
Gaming	2it0k3OkXHk	16
Travel_Events	8iHPUK7KMtY	33
Film_Animation	oVfvFBRy5xY	14
Sports	MKWWhf8RAV8	12
Howto_Style	p9SevdqPd3Q	10
Comedy	o2Cfv6kzXRw	65
Film_Animation	qtwrzi1DNgU	83
People_Blogs	6ur1U1dXl7M	28
People_Blogs	eoYWFLUsDSk	4
Entertainment	vPwK10tOxEA	36
Science_Technology	D4Sqy_0nzmo	29
Entertainment	w028RyBGy6M	34
Science_Technology	itQiuxVV0EQ	135
Travel_Events	V5VYYBR6M6Q	9
Entertainment	C4IgvmVB7eQ	81
Film_Animation	Jc_d1g77D84	0
Education	modIvoQjpbE	74
Travel_Events	RDYMD_IZVbo	91
Autos_Vehicles	LsV8uFhSJjg	123
Gaming	GvMQzyUdpPg	18
Autos_Vehicles	dfzCFVj-Tyo	76
Travel_Events	aj1YtFFuWmc	5
Travel_Events	pAzy0EUxGt0	96
People_Blogs	FNhYKxnTFpY	214
Autos_Vehicles	rv6hmIDdDkY	21
Science_Technology	kvHXVFOgO7M	25
Travel_Events	NBtKUXtWoz8	77
Entertainment	JcUGCvFISOA	10
Travel_Events	XnsxsS9WhDE	0
Autos_Vehicles	REgZiBhSAbw	12
Entertainment	Z22y9dWPZDU	349
Entertainment	ivKthfFq8To	4
People_Blogs	Ro9aEIN3YRA	225
Gaming	CIbo0xLbNic	38
Travel_Events	SCiSbfhHq6M	35
Gaming	lGtPmgyv0PE	5
Travel_Events	-4MzQ1pRd50	9
Film_Animation	GAKGxoguP54	4
Education	FzmUdf3QWt0	73
Autos_Vehicles	UfNwE0gBZ3s	12
Travel_Events	sMSESPH7oDY	5
Entertainment	RtSKBo8woSQ	172
Sports	6hQmIJ6avJ8	48
Gaming	qJ8YlygoL_c	14
Travel_Events	0HukN0eUofg	215
Pets_Animals	AT7_Kbwjrcw	33
Entertainment	qY6nyYOh8nE	8
People_Blogs	HKX6VgFPymM	29
Science_Technology	m5QJUA3Tro8	62
Comedy	Y841_wMZ1EM	10
Sports	9T3z8lUzp1w	26
People_Blogs	vC5ZfhjQjkw	0
News_Politics	AmRbdECTroI	19
Entertainment	O84uSklAMAk	53
Education	tIlQ55lcRfI	2
People_Blogs	J-C9FSFObeA	12
Autos_Vehicles	FkDGxjxM5tY	68
Gaming	NyrmI8HP9g0	47
Travel_Events	zGBVEFWT9Eg	34
Science_Technology	ihTeVSMh5Gg	21
Travel_Events	mdOzgPn5Ixo	68
Entertainment	SI-ornpUq3M	10
Autos_Vehicles	2ht4M4YQ--0	36
Travel_Events	8G0zoVm3NOw	24
Gaming	voGduYfmdok	30
Travel_Events	A-i4HCrVyDw	2
Travel_Events	rgsXBdOC5Eo	306
Film_Animation	2-AP6WCth4w	89
Travel_Events	sMXshzqUlQA	36
People_Blogs	WP5LDSIH-Ek	113
Entertainment	5jS6bZeIKAY	35
Education	8DkDPCd3KZ0	55
People_Blogs	nXvLu110b4g	102
Gaming	Bv9F1_rDvgI	26
Science_Technology	uGoF7AewheU	100
People_Blogs	J21x9gTwkiM	76
Travel_Events	ExWns49AhfI	51
Travel_Events	f_yuQAxxofE	68
Travel_Events	tRoioH8qK5c	74
Gaming	3Axnx20B8MM	28
Science_Technology	mOEnoKv4eyw	35
Sports	ZwUJK6pTCWk	64
People_Blogs	UgBBfUz_GIA	9
Education	zK5WcXdbE00	169
Science_Technology	gsZL5jvVlIY	41
Travel_Events	GUeI2iINhpY	12
Travel_Events	J3Xef3E3aTQ	427
People_Blogs	ofgBCmeu3-I	17
Travel_Events	pBkWJUWBF1c	21
People_Blogs	2CZtFQwQy3g	149
People_Blogs	NDheu6rSqPU	23
Education	CPevg2M2En0	66
Gaming	68RFiR6kkSY	1
Film_Animation	RaVjXjmo4pA	10
Entertainment	A9BgM2Y9h3c	42
Entertainment	v9iRaVRRk5k	55
Travel_Events	W0sTwUzjnFc	79
Travel_Events	SKN9bzXf0og	24
Travel_Events	dcJvsIkGQ50	43
Education	_qnMJ6H1RME	44
Sports	xnz4S4gONT4	15
Travel_Events	7r4232rrX_U	128
Entertainment	djLFolqarE4	44
Education	y7rtqhcg16Y	50
Entertainment	OY8n9xvfubI	14
People_Blogs	mKf3WiSvnUI	92
Science_Technology	yFr4mnMwhZ8	7
Autos_Vehicles	Y-HOKWcHRf4	115
Science_Technology	CZoyjn9UKRc	65
People_Blogs	gWMZps04HDU	1
Travel_Events	IvhE9nDjuys	89
People_Blogs	BuQ0icXN_Xg	120
Gaming	DzkM8sOsV2M	21
Autos_Vehicles	vhnUDCZUa28	39
Science_Technology	1ZKyx8LifHk	62
Travel_Events	vI9RYkJCZJg	4
Film_Animation	ERV3W-xwBto	1
Entertainment	jz2CZZeJsDc	30
Entertainment	78XVsGgk8n8	10
Travel_Events	pFHPmvijbY0	21
People_Blogs	jkQRlKdscDE	36
Sports	xRMxq0gD5TY	124
Sports	B-vgkgu8gS8	37
People_Blogs	4AS1cOAm6gI	114
People_Blogs	oVDGwZvIViU	127
Education	BaKRsKVGFD8	0
People_Blogs	4hpvU1i9uL8	28
People_Blogs	YrTlC4jjEoY	44
Autos_Vehicles	rKanPxSOyOk	47
People_Blogs	ecO7UliX0ng	77
Travel_Events	xkDTPvSADxs	153
Entertainment	nSm7fYqjBg0	21
Travel_Events	vaFYX9Bl3q4	71
Science_Technology	9d7jg6NxCLM	90
Travel_Events	sPCuW5-4708	20
Gaming	s5GppUJhosg	103
Entertainment	k6hez5p29SE	1
Entertainment	9qLKXez0SOs	6
Gaming	NagqFoCwMVs	134
Entertainment	4ebzizFXfE4	1
Travel_Events	LmhU0omFIN8	39
People_Blogs	eynSyjGYHZs	42
Sports	s7yxLIKS-gs	2
Travel_Events	oLungrb-feE	97
Gaming	GcnFkQKXdwc	8
Gaming	0OmKNu-tdBQ	55
Film_Animation	dOzCLbhkGGM	22
News_Politics	y34gakr43B0	26
Travel_Events	g-mxDh2beb0	89
Autos_Vehicles	fF5d2MrBM2k	66
Travel_Events	tFDyruw3XVs	16
Film_Animation	BkMxdpw6KbY	12
Travel_Events	UnXF7inDZM0	45
Travel_Events	6ZwLfvpnEwY	213
People_Blogs	8vqMX5P-w18	4
Sports	wCHNWHYMje4	63
Autos_Vehicles	Rp-W3caZK6s	306
Travel_Events	5vsBRzhc-5c	5
People_Blogs	E7AqtUMDOjI	14
Autos_Vehicles	Zc5NDI2H0X4	7
Entertainment	SXcIh9wZ7eA	48
Gaming	jIQOV7jSkPU	10
Entertainment	WDAp-X6VyUc	45
People_Blogs	DkDYw0MQcD0	168
Travel_Events	Iv5TKisk5Dk	98
Education	QTdHLdYltNA	1
Travel_Events	a_x-EfgdkDQ	34
Gaming	mlQNhLglCrg	30
Travel_Events	GFLJXZFKIzU	144
Gaming	5wwipWSWne0	51
Travel_Events	fwcI4B32Ba4	4
People_Blogs	6rv1T1HNc6o	48
Sports	4_8A3LA95ls	7
Entertainment	HAiXGalIoFs	11
People_Blogs	JNtHhw7RrmY	37
Entertainment	y6LEoDmXFDc	52
Gaming	W0SYtrl3cnc	24
Travel_Events	aO-flokmhrQ	13
Entertainment	I033FyQFZGo	47
Travel_Events	my9SwenVAaY	105
Travel_Events	krqzjTAR8U8	59
Travel_Events	iRPKZnaPNJ8	55
Gaming	OigraEq0uhU	12
People_Blogs	QVgre_npmk4	83
People_Blogs	NgWVhL2iouk	153
Travel_Events	6w391DYCB78	24
Education	v5QhHxh0n30	187
Education	hlnMJtTpSCc	240
Travel_Events	begiNfhtZr4	26
Film_Animation	5xKaXPrfAMs	34
Sports	nGdjBbH-SrI	10
Entertainment	WS5BaSajWgY	4
Gaming	9j1U2c6BlNc	28
Education	gCRQR8Uv9JY	6
Autos_Vehicles	vJ5RqNJ9RQs	19
People_Blogs	g1tsmJJyK8A	34
People_Blogs	R-xtZO6kHmU	50
Science_Technology	YPyvv16KtQg	127
Entertainment	5_gSg0k-XJU	63
Autos_Vehicles	PVIZM10BD74	38
Science_Technology	WKSmq_GNYJw	4
People_Blogs	JOMp6mK3gOk	131
People_Blogs	FNhYKxnTFpY	27
Nonprofits_Activism	VKMrBkjB92s	25
Science_Technology	OODWUd4ppVM	18
Pets_Animals	7J-WOXlUve0	31
People_Blogs	qS7KuK_pBUQ	128
Entertainment	IguQ50AeabI	5
Entertainment	mTKQC96zLDk	36
Entertainment	HsuWu_70PU4	6
Travel_Events	rnC7Lyhgw1E	51
People_Blogs	eI6r-KjeVT4	271
People_Blogs	lzr9-5OgnHs	38
Sports	22Z-5_h-iRk	135
Travel_Events	N4w9YkLX2Ro	305
Autos_Vehicles	nKOg38uYyCg	29
Gaming	BL0PC0uUg4U	19
Autos_Vehicles	IlOOAdT9SdA	14
Gaming	IlMo0pNQE98	18
Travel_Events	M-1tX8uZunY	9
People_Blogs	PmkvLw0BSSo	51
Sports	zVD1e1_lWrg	7
Gaming	s91QgiOVo4s	16
People_Blogs	_RpFBlm7a7k	20
Education	ZPZcomfPeRc	25
Autos_Vehicles	Wa_5yxMDf0k	32
People_Blogs	MXYly6sZtk0	60
News_Politics	RL-pkcwggV8	106
Travel_Events	SAK8mSqyu0c	152
News_Politics	F9fIOcLaI2M	84
People_Blogs	YAWy4LjS4Fc	248
Travel_Events	OQQ46JZ2b1o	119
Travel_Events	lDuCwskOP_k	27
Science_Technology	2XLPBKxn6Bo	170
Travel_Events	T0DNBJT6_dk	270
People_Blogs	i-7Vm63hutY	16
Entertainment	cQ0is2yKxzw	8
Sports	qIXT-hzWhiw	5
Travel_Events	0jbfz5tT-uA	0
Travel_Events	_kdVbteuA-k	153
News_Politics	FqBOgdkhbCA	53
Travel_Events	rgsXBdOC5Eo	119
Gaming	BydQ3B1ovXc	8
Gaming	Rla1V8HhEj8	1
People_Blogs	k76E-At9bcM	105
Film_Animation	OiozfYCrT2Y	12
Film_Animation	fHExfFrdS94	47
Film_Animation	mxT_BVOIAtw	9
Travel_Events	4cXlMqFtjA4	184
Education	CcUfAfwV6nw	23
People_Blogs	BnErkXfAaTc	64
Entertainment	SI-ornpUq3M	173
Education	OzaXkOArlEY	102
People_Blogs	nHOX91YD5W0	6
Gaming	gamhEIjIwXE	20
Travel_Events	J3Xef3E3aTQ	240
News_Politics	HXlZ1tqd1RI	15
Entertainment	OtSIQRRkICo	144
Sports	R7F2YH3M0VE	56
Science_Technology	Biy21E6sqLk	4
Science_Technology	ZgR_kg52owI	74
Autos_Vehicles	EpCNa466AOw	143
People_Blogs	ULgAKtt2NFI	13
Entertainment	7T57kzGQGto	24
Autos_Vehicles	4blY_vUC94Q	3
Travel_Events	EpOyce8EZEc	23
Sports	WdwI3DwYYBo	131
Travel_Events	qBcma93fBWQ	50
Sports	ZfYnHYJotVA	137
Travel_Events	M8x0nrk33O0	20
Education	j80UEvx4ZVM	93
Entertainment	Lj9z0AHr6ig	129
People_Blogs	GlgscCaeMSE	7
People_Blogs	08pTtnJe4Nw	47
People_Blogs	uG2-UikCAYg	21
Entertainment	tbwMw5aFe8U	7
News_Politics	C2WnT12uMsM	31
People_Blogs	DqCCV7vWV2k	89
Entertainment	qJGkdajrbPw	12
Sports	m5Lb7JT1-AY	5
Sports	HW1lefCP4bc	89
Entertainment	Wy4kQUdqDKM	82
People_Blogs	n53orYOoHmU	24
Gaming	MnmU_NwhTFU	15
Entertainment	0mJDy3przOY	126
Nonprofits_Activism	QrMVMjAfFKg	1
People_Blogs	YBDlanoSwuc	166
Autos_Vehicles	ddworx5UjYE	104
Science_Technology	plWIXZcsK6U	10
Travel_Events	VALWe9ppLO8	17
Entertainment	CMjrx_dvpMU	7
Travel_Events	Aah5BCU53jY	19
Entertainment	d7HMhH7xtXA	11
People_Blogs	k2kbN_Khg-0	199
Travel_Events	ZS8aG415A8c	3
Entertainment	eIzbtQFXFVk	2
Travel_Events	XVdVhxbTvxs	36
Entertainment	umz0qUIQy5Y	100
Gaming	jw2nzFuxFF8	33
Travel_Events	IytLcFb2Dtg	24
Travel_Events	y6FSgSBcNWU	24
People_Blogs	bw-sRhQvaAk	55
People_Blogs	6bNSLjTRDcU	6
Autos_Vehicles	eCIDu7QX2x0	10
Travel_Events	WyDuGFJgrn8	115
Travel_Events	N6UTWOuDTCA	57
Travel_Events	KtxEmezsxaU	16
People_Blogs	jNbr8RjKr3E	48
Sports	Hr2k5mGuiA8	3
Education	J3ixfgJBtOc	29
Education	GMzOhw4Thk8	89
Entertainment	6NXCTEnU8cY	49
Travel_Events	luIHHCFpngc	32
Entertainment	Oy4ug04-eLE	2
Howto_Style	kWQXS8yTpCU	101
Autos_Vehicles	FxgkVIRUZLY	52
People_Blogs	sR3GmePW4VM	39
Comedy	E8NBmRJomE8	216
News_Politics	Xz1O9FKS0gw	13
Science_Technology	c3zeH-YEHkE	13
Travel_Events	NNYtJZpIQOE	206
Travel_Events	z9_j2l-S6fY	124
Gaming	whYUCxLRAsk	24
Nonprofits_Activism	H3DQfUbYUe8	29
People_Blogs	qaS_aDvjcBs	23
Travel_Events	Rpq2I79UxLI	45
Education	vLJhh9oaIoQ	133
Travel_Events	ULSE5Yc4U7Q	198
Autos_Vehicles	JEmA17toeno	41
Film_Animation	rYoSSXXMxVI	3
Entertainment	Y4K2_sYIFvk	1
Pets_Animals	TuGgTP4YqgI	11
Travel_Events	dapIC4IKah0	37
People_Blogs	MDIHZoWo3jM	50
People_Blogs	PH_-n7CaA3c	136
Gaming	aYhSy1A8_CA	37
Pets_Animals	6DZLEwIYdr8	9
Travel_Events	ut5ZlS7iG58	99
Science_Technology	MzcdEI-tSUc	31
Entertainment	j2oOJEoKS38	136
Gaming	OwfXGXFYt0s	21
People_Blogs	7Sw2qjzXDRk	75
Travel_Events	u2nomQE3JSI	19
People_Blogs	e7AYPnOcn2g	175
Entertainment	_hjnjHfqFjc	1
People_Blogs	8uqX83N1z_s	38
Sports	J2hNqr8B7mw	2
Sports	p1Bgvdv8Eig	10
Pets_Animals	L5oeBn7SHtA	1
Autos_Vehicles	cc4C2pAULTw	24
People_Blogs	jWdhovTutzc	77
Entertainment	jbMzh-ECsQU	12
Autos_Vehicles	jp2iR-85250	45
Film_Animation	yeLQVare-3k	221
Education	v5QhHxh0n30	0
People_Blogs	4pIfW2XViB4	55
Autos_Vehicles	yzc6ZUMGj1M	67
Travel_Events	N3rc-0YZxsU	52
Education	hlnMJtTpSCc	53
Travel_Events	cUId34krD6o	6
Entertainment	OkLa7jkFXpU	4
Travel_Events	IYaaErV3Lu0	103
Entertainment	TpHDoTp7CY4	90
Gaming	xf_jpeaqNNs	46
People_Blogs	YZRn97Ckq_c	143
Science_Technology	pj1i6WwdM1s	33
Travel_Events	C3EWKMWevLU	11
Education	3Agsqmlr4Zk	43
Gaming	N4alSoFNs5A	28
People_Blogs	8Uxqn51mnBg	35
Travel_Events	j3Iy592_3_w	27
People_Blogs	ddFAhVfinzE	67
Travel_Events	Kp29zcxmkmo	29
Travel_Events	uTFVZERn98E	53
People_Blogs	MPzdYwcKzFc	97
Gaming	zfzlqtm86YE	16
Science_Technology	itQiuxVV0EQ	111
Gaming	kyri0dUbbXI	1
Travel_Events	d9d1mqQklz8	86
Sports	xLd7C0cx6z8	70
People_Blogs	VEu2yM9QxOc	196
Autos_Vehicles	2sg4wH1cxmk	8
People_Blogs	2IKBfvtWXMw	190
Film_Animation	g4NbLnDmYbo	11
News_Politics	6xMZDyAfjY8	43
Comedy	KGMDN68o8_A	12
Travel_Events	4ExGZLzAokw	55
Gaming	MDcqsqpo6fU	14
Sports	V9s2IA6itpI	1
Autos_Vehicles	NNiZHqWn6V4	25
Gaming	94eMrn4SICM	25
Travel_Events	mr-guPrWw4E	625
Gaming	8miNAmqb_MA	3
Travel_Events	nBVKl3AvouQ	61
Science_Technology	4p8VDqHVkec	45
Travel_Events	Yt_SsybhTXc	222
Entertainment	sR91R4BHGs8	31
People_Blogs	YAWy4LjS4Fc	61
People_Blogs	m2ijFFBiiTw	10
Travel_Events	G2vGCNuaAbY	26
Gaming	FTc2btZBaSc	45
Pets_Animals	emneXTXn1Nc	50
Sports	6hQmIJ6avJ8	24
Entertainment	YScYytcG0YM	67
News_Politics	siUL9eMlq7o	18
People_Blogs	oVDGwZvIViU	208
Pets_Animals	sT0hVLEe5mU	19
Entertainment	y41tFjfwgeQ	61
Entertainment	Cs-wPo4fPLg	22
Entertainment	VdQDF_REVJ4	103
Science_Technology	m5QJUA3Tro8	38
People_Blogs	0bSG0kSJZLM	12
Travel_Events	kJmwqwVajLg	69
Gaming	N270BUHP9Qk	21
Travel_Events	eSuo8MO6h3Y	119
Autos_Vehicles	32JAv694xQ8	28
Howto_Style	YDXSRXFA9xQ	25
Travel_Events	ZfFu1O92Hg0	109
Science_Technology	a8w5uYujhkY	13
People_Blogs	oK7chwvbQwM	98
Gaming	Pxw9Rk294x4	7
Autos_Vehicles	FkDGxjxM5tY	44
Travel_Events	sMQu4b48g9A	20
Entertainment	LWI8t228-4Y	11
Entertainment	8STvAtM5gG0	51
Comedy	kkzv64-nLmU	288
Film_Animation	Avip3eHPib4	105
Entertainment	DJRRZgMTdEY	17
People_Blogs	MNi49AkLXwQ	2
Travel_Events	J3Xef3E3aTQ	53
Travel_Events	870cTG9KoPM	55
Travel_Events	KLh22u5rTIk	7
Pets_Animals	QKMdOnqJMyY	8
Travel_Events	fm1e8SThsR0	0
Entertainment	YwVxz3XF4FU	66
Film_Animation	SzENYa2yN3g	5
Film_Animation	a54H2V06dqw	7
Entertainment	3hh4A-ldYGQ	19
Travel_Events	gSSOnHd90kA	100
Travel_Events	D4PIZVrqRIk	10
Pets_Animals	BGqiMOwpgY0	11
People_Blogs	5cbD8t8h3go	16
Entertainment	_X0oAFdl4A4	0
Autos_Vehicles	7PoYLwVVjq0	0
Film_Animation	hne-7JKc4EY	3
Nonprofits_Activism	r0lIS8eH1Uo	15
Education	zqE4uraMUmY	59
Sports	uryCZ2cTHQo	10
Sports	ZwUJK6pTCWk	40
People_Blogs	G2sqIB48cdA	23
Entertainment	E7nFNKWUwP8	10
Travel_Events	m_84K6NiXkQ	23
Travel_Events	mWu4MFn1cmI	38
Travel_Events	fYptV41n1M8	3
Entertainment	4_acimftbWU	257
Gaming	FmOkC9zOmDc	6
People_Blogs	GJlmE9T88dk	92
Travel_Events	Gg3Pi1wg56g	20
Travel_Events	VcaT_wRwmuw	1
Pets_Animals	3MD4RZJd4SM	29
Sports	iK0KNBM1Bdw	294
Education	4stqRE5zzoQ	68
Gaming	pZDqXI9bNXo	23
People_Blogs	9Adn554h1lc	184
Entertainment	A9BgM2Y9h3c	18
Travel_Events	WB3EmKnTb3s	114
Gaming	og_Dz6jlpNE	29
Entertainment	Yp12c3-IL-I	26
Travel_Events	zZ-47HvKLU4	15
Travel_Events	MmZ2NRiiRlw	305
Howto_Style	9FCzKaHWiis	10
Film_Animation	jm7LdU_pKX4	67
People_Blogs	4JNCZryZd0U	197
